FechaID,SucursalSP,ServiciosRealizados
20200102,28,21
20200102,42,17
20200102,43,3
20200102,48,12
20200102,51,12
20200102,52,12
20200102,54,9
20200102,60,12
20200102,61,3
20200102,69,7
20200102,71,10
20200102,82,6
20200102,104,6
20200102,105,2
20200102,113,5
20200102,120,3
20200102,126,6
20200102,147,3
20200102,46,33
20200102,50,9
20200102,55,10
20200102,68,7
20200102,70,7
20200102,72,13
20200102,73,9
20200102,74,7
20200102,76,11
20200102,79,7
20200102,80,6
20200102,81,3
20200102,83,4
20200102,86,10
20200102,87,7
20200102,89,4
20200102,95,6
20200102,96,5
20200102,98,6
20200102,102,4
20200102,1,18
20200102,5,13
20200102,6,7
20200102,8,6
20200102,9,16
20200102,12,17
20200102,25,4
20200102,33,18
20200102,41,4
20200102,139,6
20200102,27,8
20200102,47,8
20200102,56,10
20200102,57,12
20200102,77,6
20200102,78,12
20200102,103,18
20200102,117,5
20200102,127,4
20200102,128,10
20200102,132,3
20200102,137,4
20200102,138,2
20200102,141,2
20200102,142,1
20200102,144,4
20200102,58,17
20200102,59,16
20200102,65,6
20200102,84,10
20200102,97,9
20200102,101,3
20200102,107,11
20200102,108,3
20200102,110,3
20200102,111,3
20200102,112,8
20200102,119,2
20200102,123,6
20200102,125,6
20200102,129,6
20200102,136,2
20200102,143,1
20200103,28,13
20200103,42,8
20200103,43,12
20200103,48,13
20200103,51,19
20200103,52,18
20200103,54,20
20200103,60,20
20200103,61,9
20200103,69,9
20200103,71,8
20200103,82,4
20200103,104,6
20200103,105,7
20200103,113,8
20200103,120,4
20200103,126,8
20200103,147,3
20200103,46,49
20200103,50,6
20200103,55,8
20200103,68,6
20200103,70,18
20200103,72,15
20200103,73,15
20200103,74,8
20200103,76,3
20200103,79,22
20200103,80,8
20200103,81,5
20200103,83,11
20200103,85,8
20200103,86,7
20200103,87,4
20200103,88,6
20200103,89,4
20200103,95,10
20200103,96,4
20200103,98,7
20200103,102,11
20200103,1,21
20200103,5,14
20200103,6,7
20200103,8,6
20200103,9,18
20200103,12,18
20200103,25,9
20200103,33,11
20200103,40,7
20200103,41,10
20200103,130,5
20200103,139,9
20200103,27,11
20200103,47,10
20200103,56,11
20200103,57,9
20200103,62,4
20200103,77,15
20200103,78,9
20200103,103,18
20200103,117,8
20200103,127,11
20200103,128,10
20200103,137,7
20200103,138,9
20200103,141,2
20200103,142,1
20200103,144,2
20200103,63,5
20200103,58,29
20200103,59,14
20200103,65,21
20200103,84,9
20200103,97,14
20200103,101,3
20200103,107,14
20200103,108,11
20200103,110,11
20200103,111,7
20200103,112,9
20200103,119,4
20200103,123,6
20200103,125,9
20200103,129,2
20200103,136,2
20200103,143,2
20200104,28,10
20200104,42,11
20200104,43,6
20200104,48,12
20200104,51,10
20200104,52,17
20200104,54,14
20200104,60,10
20200104,61,3
20200104,69,7
20200104,71,12
20200104,82,4
20200104,104,10
20200104,105,7
20200104,113,5
20200104,120,3
20200104,126,3
20200104,147,7
20200104,46,30
20200104,50,5
20200104,55,19
20200104,68,13
20200104,70,21
20200104,72,22
20200104,73,8
20200104,74,7
20200104,76,6
20200104,79,8
20200104,80,6
20200104,81,5
20200104,83,9
20200104,85,7
20200104,86,10
20200104,87,5
20200104,88,3
20200104,89,7
20200104,95,1
